Date,Model,FLOP,Joules/FLOP,Data (tokens),GPU,Energy (Joules),US energy price (cents/kwh),Total energy spend ($),Talent Hours,Num Authors,MMLU,HellaSwag,HumanEval,,Historical
,,6.72392E+131,0,2.88E+85,,,,,,,,,,,
,,2.09341E+133,0,3.00E+86,,,,,,,,,,,
,,6.51755E+134,0,3.13E+87,,,,,,,,,,,
,,2.02915E+136,0,3.26E+88,,,,,,,,,,,
,,6.31751E+137,0,3.39E+89,,,,,,,,,,,
,,1.96687E+139,0,3.53E+90,,,,,,,,,,,
,,6.12361E+140,0,3.68E+91,,,,,,,,,,,
,,1.90651E+142,0,3.83E+92,,,,,,,,,,,
,,5.93566E+143,0,3.99E+93,,,,,,,,,,,
,,1.84799E+145,0,4.15E+94,,,,,,,,,,,
,,5.75348E+146,0,4.33E+95,,,,,,,,,,,
,,1.79127E+148,0,4.51E+96,,,,,,,,,,,
,,5.57689E+149,0,4.69E+97,,,,,,,,,,,
,,1.73629E+151,0,4.89E+98,,,,,,,,,,,
,,5.40572E+152,0,5.09E+99,,,,,,,,,,,
,,1.683E+154,0,5.30E+100,,,,,,,,,,,
,,5.23981E+155,0,5.52E+101,,,,,,,,,,,
,,1.63135E+157,0,5.75E+102,,,,,,,,,,,
,,5.07898E+158,0,5.99E+103,,,,,,,,,,,
,,1.58128E+160,0,6.23E+104,,,,,,,,,,,
,,4.9231E+161,0,6.49E+105,,,,,,,,,,,
,,1.53274E+163,0,6.76E+106,,,,,,,,,,,
,,4.772E+164,0,7.04E+107,,,,,,,,,,,
,,1.4857E+166,0,7.33E+108,,,,,,,,,,,
,,4.62553E+167,0,7.64E+109,,,,,,,,,,,
,,1.4401E+169,0,7.95E+110,,,,,,,,,,,
,,4.48356E+170,0,8.28E+111,,,,,,,,,,,
,,1.3959E+172,0,8.62E+112,,,,,,,,,,,
,,4.34595E+173,0,8.98E+113,,,,,,,,,,,
,,1.35306E+175,0,9.35E+114,,,,,,,,,,,
,,4.21256E+176,0,9.74E+115,,,,,,,,,,,
,,1.31153E+178,0,1.01E+117,,,,,,,,,,,
,,4.08327E+179,0,1.06E+118,,,,,,,,,,,
,,1.27127E+181,0,1.10E+119,,,,,,,,,,,
,,3.95794E+182,0,1.15E+120,,,,,,,,,,,
,,1.23225E+184,0,1.19E+121,,,,,,,,,,,
,,3.83646E+185,0,1.24E+122,,,,,,,,,,,
,,1.19443E+187,0,1.29E+123,,,,,,,,,,,
,,3.71871E+188,0,1.35E+124,,,,,,,,,,,
,,1.15777E+190,0,1.40E+125,,,,,,,,,,,
,,3.60458E+191,0,1.46E+126,,,,,,,,,,,
,,1.12224E+193,0,1.52E+127,,,,,,,,,,,
